Key,BPM,Energy,Danceability,Happiness,Acousticness,Instrumentalness,Liveness,Speechiness,Placering
9,196,88,51,45,26,0,34,5,0
5,176,50,44,24,1,0,10,4,2
6,98,67,84,65,16,0,7,8,0
4,108,54,84,21,81,31,12,3,0
12,97,78,75,81,18,0,57,9,0
1,93,58,59,35,10,0,10,3,0
8,134,94,55,29,4,0,7,6,1
3,142,61,78,77,7,0,9,4,0
9,98,70,58,39,37,0,6,8,0
10,126,69,39,37,40,0,17,4,1
5,100,87,53,44,0,1,22,4,0
3,110,47,76,38,31,0,32,4,0
9,139,47,43,33,25,0,41,4,1
1,135,94,53,75,1,0,23,6,1
5,140,61,46,18,37,0,10,3,2
3,100,72,59,64,7,0,28,3,0
1,104,75,40,42,20,0,7,7,2!
-----------------------------------------------------
10,103,78,47,57,10,0,21,5,2!
3,104,84,80,51,2,0,6,7,0
8,135,61,71,39,20,0,19,15,1
1,94,61,47,31,0,1,22,6,0
9,96,87,75,56,37,0,29,4,0
3,78,50,53,19,23,0,10,4,0
9,103,62,80,19,79,30,17,5,1
2,100,84,43,34,6,0,13,5,0
4,184,52,32,48,13,0,60,5,0
3,190,61,46,35,6,0,29,4,2
12,105,92,65,46,31,0,20,11,1
2,135,79,68,43,1,0,6,4,0
1,82,52,59,14,18,0,11,6,1
2,146,79,53,61,1,0,28,4,2
4,146,82,52,61,6,0,13,10,1
6,152,69,58,53,17,0,12,4,0
5,134,80,62,72,2,0,65,5,0
9,114,66,81,48,9,0,12,6,0
8,146,83,69,88,31,0,13,12,1
11,125,56,62,16,26,0,24,3,0
3,100,76,60,44,11,0,7,4,1
8,137,87,49,33,2,0,25,7,0
1,110,53,59,32,16,0,19,3,0
9,154,89,55,57,1,0,13,23,0
3,108,76,56,53,2,0,28,4,1
4,91,55,64,41,21,0,17,4,0
9,136,68,79,88,4,0,11,5,0
11,178,66,55,59,26,0,12,7,1
-------------------------------------------------
9,122,70,60,30,9,0,56,7,0
4,80,86,54,45,1,0,29,9,0
3,95,79,51,48,21,0,10,5,0
11,123,50,71,26,14,0,10,4,1
3,130,95,59,85,0,0,12,5,1
11,68,38,49,32,53,0,12,4,0
9,113,64,80,79,3,0,30,6,1
9,175,77,54,50,1,0,4,14,1
3,170,72,60,36,2,0,9,23,0
9,176,81,53,44,1,0,6,5,0
11,144,69,43,21,16,0,42,3,0
1,150,79,63,88,5,0,4,4,0
12,100,74,49,19,14,0,12,8,0
8,108,76,64,41,3,0,26,5,1
5,134,66,57,33,0,0,33,4,1
1,146,66,52,43,0,0,25,4,0
8,98,76,55,36,29,0,8,6,1
8,152,89,57,61,0,1,16,7,0
1,81,70,42,20,3,0,32,5,0
2,100,97,68,75,13,0,9,12,1
2,90,76,50,40,0,0,13,4,2!
11,120,85,63,37,0,0,8,3,0
7,104,38,52,13,71,0,17,22,0
1,105,53,53,22,7,0,10,4,0
2,100,54,56,34,9,0,10,3,2
8,140,74,65,70,7,0,31,4,0
8,130,82,47,33,21,0,36,6,1
12,120,83,56,57,3,0,21,16,2
------------------------------------------------------
10,128,76,58,83,0,0,21,7,0
11,115,94,66,55,11,0,21,9,1
7,138,55,55,24,36,0,34,3,0
3,105,94,67,75,12,0,33,11,0
3,138,93,75,96,39,0,5,4,0
7,97,62,49,17,11,0,14,4,2!
2,170,77,44,55,0,0,8,6,1
10,119,80,61,34,3,0,9,6,1
4,160,90,61,71,5,0,19,9,0
3,100,55,71,26,88,0,11,4,0
9,103,87,68,64,2,0,8,8,0
6,108,93,60,37,0,2,34,8,0
1,134,42,53,35,64,0,10,3,1
10,137,71,56,44,1,0,12,4,1
9,122,65,80,63,33,0,13,4,1
2,81,52,65,39,6,0,10,3,0
9,140,75,62,64,11,0,17,4,0
12,203,90,31,48,0,0,27,14,0
5,76,61,57,15,42,0,11,4,1
10,158,91,50,56,1,0,7,6,0
5,120,71,57,10,1,0,11,6,2
5,116,70,56,54,1,0,13,3,1
2,136,87,60,69,0,0,9,5,0
2,132,40,61,23,27,0,11,5,0
9,134,67,40,21,0,2,18,4,0
10,123,91,63,73,1,0,7,5,2
4,132,33,47,25,75,0,15,3,0
5,134,86,55,7,1,0,4,5,1
-------------------------------------
